phase,src,dst,flow_id,paths,weights,bytes_sent,bytes_received,bytes_dropped_est,throughput_mbps,active_duration_s,active_throughput_mbps,flow_start_s,flow_finish_s
t1,1,10,1,0,1.0,15000000,1521704,13478296,8.120,0.121000,100.609,0.002000,0.123000
t2,1,10,1,0;1,0.5;0.5,15000000,3042428,11957572,16.240,0.121000,201.152,0.002000,0.123000
t3,1,10,1,0;1,0.7;0.3,15000000,3042428,11957572,16.240,0.121000,201.152,0.002000,0.123000
t4,1,10,1,0;1,0.3;0.7,15000000,3042428,11957572,16.240,0.121000,201.152,0.002000,0.123000
t5,1,10,1,0,1.0,15000000,1521704,13478296,8.120,0.121000,100.609,0.002000,0.123000
t5,1,10,2,0,1.0,15000000,1521704,13478296,8.120,0.121000,100.609,0.002000,0.123000
t6,1,10,1,0,1.0,15000000,721852,14278148,3.850,0.122000,47.335,0.002000,0.124000
t6,1,10,2,0,1.0,15000000,820936,14179064,4.380,0.122000,53.832,0.002000,0.124000
